Omitted_Symbol,Remaining_Entry_Count,Setup_Mean_Return,Setup_Return_PF,Practical_Mean_R,Practical_R_PF
NTPC,1458,0.0016583702103563677,1.0654241046621078,0.0025702279528954145,1.0049978287785752
NUVAMA,1462,0.0016671372090372898,1.065840558712571,0.002963976605752961,1.0057695043688122
NYKAA,1461,0.0016834921245510517,1.0664809072618027,0.003389993984676996,1.0065996945659836
OBEROIRLTY,1463,0.001638142786196175,1.064668538833827,0.002403098062128835,1.0046758403808274
OFSS,1459,0.0014021669849149823,1.055216806422242,-0.003280083621018441,0.9936349786153573
OIL,1461,0.0013290565090167364,1.0524029542898556,-0.002205016262236168,0.995716165838823
OLECTRA,1462,0.0015612617478232816,1.0616533153907857,0.001501750377138089,1.0029207035039924
ONGC,1463,0.0016058631488344564,1.0633135637925462,0.00159442850018703,1.0030974936102903
PATANJALI,1461,0.0016756723619211964,1.0661516780111662,0.003169947590632422,1.0061686621307304
PAYTM,1455,0.0015097616204949199,1.059451624261629,0.003129764534942953,1.0060812701498343
PCBL,1461,0.001618640092558312,1.0638346315154252,0.002749369950883697,1.005348268680327
PERSISTENT,1461,0.001530349603181444,1.0602709387059552,-0.00037402564422456204,0.9992734748356884
PETRONET,1461,0.0016049420707578295,1.0632938477317628,0.001630478327995588,1.0031688075749896
PFC,1463,0.0016562007730091227,1.0654280510316267,0.0023646790319004794,1.0046007424316787
PHOENIXLTD,1458,0.0016706331561182144,1.0659891548069214,0.0037012460410962827,1.0072036892065976
PIDILITIND,1464,0.0015989282679717263,1.063068708834979,0.0015627685097592185,1.0030378824356077
PIIND,1464,0.0015699548509538514,1.0619111836462494,0.0008486841225931885,1.0016492290719148
PNB,1459,0.0016841598307114787,1.0664210937405645,0.0036332650767293855,1.0070678485558378
PNBHOUSING,1463,0.0016150034338820013,1.0636968876553936,0.002251915393211509,1.004380387373048
PNCINFRA,1464,0.0016699771552149791,1.0660563083780052,0.0020783030785283835,1.0040440883986486
POLICYBZR,1460,0.0015476081335845657,1.061024194392731,0.00039864244759112236,1.0007742992023574
POLYCAB,1455,0.0018155445544568683,1.0718119708209293,0.0056501372416318425,1.011021212458258
POLYMED,1463,0.0016570003291185521,1.0654617051169695,0.002211374825031065,1.004301189365302
POONAWALLA,1459,0.0016745693906812526,1.0660887939241572,0.0023853120899376885,1.004635333299536
